scenario      ,       K,leaf_capacity,max_depth,avg_total_time_s,total_time_std_s,avg_broad_phase_time_s,avg_narrow_phase_time_s,avg_candidates_per_frame, rebuild_count,correctness_ok,repeat_count
uniform_cloud ,       5,           32,        6,        0.618708,        0.017039,              0.245444,               0.324914,               245463.41,           366,             1,           5
uniform_cloud ,       5,           32,        8,        0.612711,        0.019341,              0.242602,               0.324341,               245463.41,           366,             1,           5
uniform_cloud ,       5,           32,       10,        0.599687,        0.006036,              0.239883,               0.314659,               245463.41,           366,             1,           5
uniform_cloud ,       5,           64,        6,        1.045274,        0.070269,              0.330790,               0.681529,               496483.51,           366,             1,           5
uniform_cloud ,       5,           64,        8,        0.990627,        0.015742,              0.308356,               0.649574,               496483.51,           366,             1,           5
uniform_cloud ,       5,           64,       10,        1.021895,        0.037303,              0.329596,               0.660202,               496483.51,           366,             1,           5
uniform_cloud ,      10,           16,        6,        0.335440,        0.008824,              0.185031,               0.110607,                83348.34,           215,             1,           5
uniform_cloud ,      10,           16,        8,        0.331586,        0.009558,              0.183892,               0.108167,                83348.34,           215,             1,           5
uniform_cloud ,      10,           16,       10,        0.332219,        0.013359,              0.183991,               0.108903,                83348.34,           215,             1,           5
uniform_cloud ,      10,           32,        6,        0.503436,        0.020089,              0.145702,               0.325394,               245253.99,           215,             1,           5
uniform_cloud ,      10,           32,        8,        0.505885,        0.006882,              0.148737,               0.326604,               245253.99,           215,             1,           5
uniform_cloud ,      10,           32,       10,        0.509780,        0.018856,              0.147857,               0.331308,               245253.99,           215,             1,           5
uniform_cloud ,      10,           64,        6,        0.848799,        0.021659,              0.180780,               0.646328,               496454.70,           215,             1,           5
uniform_cloud ,      10,           64,        8,        0.894707,        0.047238,              0.194521,               0.677159,               496454.70,           215,             1,           5
uniform_cloud ,      10,           64,       10,        0.859724,        0.026508,              0.183579,               0.654134,               496454.70,           215,             1,           5
uniform_cloud ,      20,           16,        6,        0.247924,        0.002392,              0.110370,               0.110695,                83339.86,           125,             1,           5
uniform_cloud ,      20,           16,        8,        0.242490,        0.005949,              0.107392,               0.108891,                83339.86,           125,             1,           5
uniform_cloud ,      20,           16,       10,        0.238483,        0.005008,              0.106142,               0.106424,                83339.86,           125,             1,           5
uniform_cloud ,      20,           32,        6,        0.431148,        0.017894,              0.086130,               0.324023,               245319.66,           125,             1,           5
uniform_cloud ,      20,           32,        8,        0.429675,        0.013643,              0.084584,               0.324131,               245319.66,           125,             1,           5
uniform_cloud ,      20,           32,       10,        0.427499,        0.011627,              0.085388,               0.321204,               245319.66,           125,             1,           5
uniform_cloud ,      20,           64,        6,        0.757666,        0.010655,              0.106056,               0.635573,               496503.23,           125,             1,           5
uniform_cloud ,      20,           64,        8,        0.772475,        0.021546,              0.108435,               0.647664,               496503.23,           125,             1,           5
uniform_cloud ,      20,           64,       10,        0.782657,        0.017973,              0.110364,               0.655730,               496503.23,           125,             1,           5
uniform_cloud ,      50,           16,        6,        0.439368,        0.012864,              0.100694,               0.321630,               245004.41,            62,             1,           5
uniform_cloud ,      50,           16,        8,        0.435093,        0.006103,              0.099697,               0.318436,               245004.41,            62,             1,           5
uniform_cloud ,      50,           16,       10,        0.442453,        0.017746,              0.101963,               0.323233,               245004.41,            62,             1,           5
uniform_cloud ,      50,           32,        6,        0.603352,        0.013433,              0.066102,               0.522671,               396857.76,            62,             1,           5
uniform_cloud ,      50,           32,        8,        0.607271,        0.020849,              0.065645,               0.526985,               396857.76,            62,             1,           5
