x,y,z
-4.57756,0.581288,-0.154446
-5.24565,-1.07756,0.0503429
6.26181,7.92179,0.00638563
-1.00302,-8.28681,0.012059
7.05877,-1.65499,0.0805193
-0.609486,-0.0514221,-0.0133972
0.610907,-0.696381,-0.0402035
-0.342146,-0.250591,0.027903
0.25297,0.495177,-0.92547
-1.04293,2.28638,0.0943464
-0.130983,-0.25384,0.151199
-0.357388,0.146269,-0.0785353
-0.182101,0.376438,-0.159778
-1.02177,1.90422,0.0948177
-2.279,-0.959784,0.0874834
-2.84574,1.03627,-0.215698
1.30572,2.32106,0.126918
2.91803,-0.918243,0.0697737
-0.815337,0.0854855,-1.20823
-0.313938,-1.42511,-0.0533104
-0.886875,0.411479,0.0129307
-8.0495,1.05888,0.0380047
-6.63927,-6.02997,0.204918
0.139053,1.22789,0.489447
-1.34155,0.975915,-0.105864
0.0315827,-0.270161,0.25677
0.458012,1.06259,-0.0143846
-0.713234,0.726718,0.0796209
10.9313,0.177494,0.0247498
-0.698646,-0.919703,0.225045
4.23205,-2.84159,0.0316742
-0.677085,-5.94722,0.150966
0.514419,0.284897,-0.283878
0.869571,9.34675,0.0432193
1.23403,-0.946092,-0.273745
-5.10991,-6.01813,-0.093778
2.1412,0.823802,-0.0434826
-1.83346,0.689953,-0.069088
1.6033,0.159906,0.104261
4.50523,-3.04008,-0.0519853
-4.06143,-5.25569,-0.16315
-3.95885,-3.58665,0.158095
-0.445436,-0.805475,0.0196168
-1.11119,-2.36649,-0.0601887
1.43447,3.64478,-0.0143512
-0.0213742,0.00749066,-0.0528662
2.3074,1.43938,0.0110491
-7.45312,4.76427,0.0377961
0.981222,0.00762453,-0.233557
0.12984,0.0164245,-0.0499297
0.0524337,1.31488,-0.0648663
0.786459,-0.895616,0.0273376
1.83317,2.86088,-0.0682034
0.364313,5.2894,-0.117449
-0.178153,0.943453,0.0449011
-2.20063,1.79637,-0.0530508
-4.47372,-1.14065,0.147615
1.03056,1.2663,0.108358
-0.440086,0.897927,0.0712272
-1.43312,3.38576,0.0120226
7.91256,-5.88192,-0.0516256
0.465888,0.25514,0.498906
-3.68556,-0.141502,-0.0108038
-8.72486,-5.87274,-0.00687908
-0.186914,0.316311,0.0245267
-4.36926,-1.87256,-0.02307
-7.72532,0.749774,0.0645918
2.01559,3.7029,0.137431
-0.118256,1.21933,0.054853
0.302115,2.26487,-0.0922433
3.48137,6.70218,0.0950538
-0.963031,0.65626,0.0425329
-5.12247,-0.827977,-0.131696
0.00164351,0.184234,-0.00748534
1.09185,-4.21532,0.174924
-1.06879,2.14739,0.0794017
-0.59722,0.256422,-0.693973
-0.348915,3.45483,-0.0762241
6.8016,-7.74816,0.0732345
-0.619148,0.505952,0.160526
0.149965,0.166157,0.029145
-0.365341,0.162588,-0.083362
0.561506,-1.09976,-0.243171
5.69508,-4.7482,-0.00973082
0.49234,0.385346,-0.00301155
-0.389544,-16.3433,0.0259218
0.86952,0.67769,0.00100233
3.85613,-0.203993,-0.0542599
-0.53833,-0.889315,0.627599
3.72191,2.12659,0.0188416
0.108019,-0.521851,-0.0861384
-0.203103,0.0279231,-0.0880462
-0.39051,-0.185253,-0.505297
-0.411762,-0.054038,-0.00671836
8.9213,2.5152,0.0229954
-4.65067,-1.51407,-0.0908302
-1.34767,8.94818,0.021057
21.8001,-1.03968,0.05125
4.17017,-3.95226,0.0302334
7.47712,-1.02118,-0.165924
1.23283,2.6455,-0.0146999
-6.35752,-1.61345,-0.0364467
-4.40141,-10.2235,-0.11961
0.227031,-4.41066,-0.00397389
1.93147,1.51638,0.100195
-8.5356,-3.25862,0.0205027
0.269566,0.170815,-0.427756
-0.310423,-0.646768,0.538977
-0.766788,-0.675828,-0.0987082
1.86624,-2.63605,0.148675
0.413497,0.398901,0.563183
0.392017,0.115756,-1.67581
-2.96069,-3.73699,-0.0677476
2.05444,0.0242675,0.0671747
8.82397,15.3321,-0.0416194
-0.670518,-0.0426495,-0.118078
1.73851,11.1758,-0.02442
-2.05012,-1.53215,0.0110821
-3.70594,-4.28378,0.0455093
0.0227125,0.088096,-0.0817425
-1.15205,0.184789,0.180572
4.57462,1.89629,-0.057908
0.38655,0.441108,-0.439525
1.52675,3.15414,-0.0539934
-0.000778518,-0.0445591,0.030378
-0.688346,0.255869,-0.427665
-0.861535,-2.52517,-0.0583412
-3.36101,1.44992,-0.13009
0.454608,0.714016,0.0499528
2.217,14.1261,0.0145962
4.06347,-2.14748,-0.0319008
15.1482,3.51494,-0.00183169
1.48957,-6.26927,-0.00665285
-0.0959081,0.837868,0.0245278
0.760785,0.228829,0.105306
0.790339,-5.71855,0.203331
-0.792725,-7.15927,-0.106311
0.0690436,0.579896,-0.188457
